track_id,type,traveled_d,avg_speed,length,width
547,Motorcycle,226.96,16.811628,2.5,1
548,Motorcycle,345.22,19.726685,2.5,1
549,Car,349.33,18.173068,5,2
550,Car,209.93,19.279115,5,2
551,Car,226.04,10.095945,5,2
552,Car,357.27,8.737697,5,2
553,Car,355.37,12.230571,5,2
554,Motorcycle,44.61,16.386663,2.5,1
555,Taxi,349.07,12.129793,5,2
556,Taxi,346.98,12.694431,5,2
557,Taxi,370.39,21.300395,5,2
558,Taxi,218.5,15.185292,5,2
559,Taxi,453.06,36.084531,5,2
560,Car,226.91,12.60606,5,2
561,Taxi,416.79,20.441853,5,2
563,Taxi,349.38,16.377254,5,2
564,Taxi,462.15,40.978923,5,2
565,Motorcycle,69.09,11.844504,2.5,1
566,Bus,466.55,29.261221,12.5,4
568,Car,447.93,37.155389,5,2
569,Car,51.46,13.621021,5,2
570,Car,226.49,13.066585,5,2
571,Car,245.54,35.932993,5,2
572,Taxi,449.47,33.993616,5,2
573,Motorcycle,463.4,41.706416,2.5,1
574,Bus,349.99,12.328496,12.5,4
575,Car,71.17,11.541291,5,2
576,Car,449.41,38.891427,5,2
577,Motorcycle,466.87,36.858238,2.5,1
578,Car,447.75,38.934757,5,2
579,Motorcycle,443.93,35.673215,2.5,1
580,Car,454.6,22.175551,5,2
581,Taxi,148.65,28.77074,5,2
582,Motorcycle,461.61,23.274296,2.5,1
583,Motorcycle,461.03,20.289977,2.5,1
584,Taxi,50.04,4.289436,5,2
585,Car,180,22.816346,5,2
586,Motorcycle,457.43,43.108983,2.5,1
587,Car,118.86,8.357237,5,2
588,Taxi,448.87,21.206513,5,2
589,Car,464.7,27.789323,5,2
590,Car,247.27,13.446968,5,2
591,Car,469.89,21.040056,5,2
592,Car,455.54,22.403787,5,2
593,Car,461.48,21.408954,5,2
594,Car,460.94,20.794368,5,2
595,Motorcycle,116.19,11.06581,2.5,1
596,Car,185.95,18.594757,5,2
597,Car,117.29,14.867263,5,2
598,Motorcycle,71.4,10.199631,2.5,1
599,Car,357.46,25.944322,5,2
600,Motorcycle,448.23,37.352827,2.5,1
601,Taxi,227.03,12.891029,5,2
602,Car,48.2,13.99407,5,2
603,Bus,464.15,29.732306,12.5,4
604,Car,67.94,12.352706,5,2
605,Motorcycle,445.68,36.968911,2.5,1
607,Car,469.58,35.815652,5,2
608,Motorcycle,460.42,41.856002,2.5,1
610,Bus,144.17,2.407337,12.5,4
611,Motorcycle,445.11,39.860374,2.5,1
612,Car,447.27,12.253952,5,2
613,Medium Vehicle,349.65,15.734107,5.83,2.67
614,Motorcycle,328.71,44.154507,2.5,1
615,Car,351.85,16.754926,5,2
616,Car,448.76,21.714409,5,2
617,Motorcycle,332.49,17.397752,2.5,1
618,Car,444.1,41.852372,5,2
619,Motorcycle,454.22,49.252617,2.5,1
620,Car,355.3,16.829929,5,2
621,Car,468.74,39.061989,5,2
622,Car,244.15,14.36161,5,2
624,Car,460.07,36.481054,5,2
625,Car,460.73,38.393826,5,2
626,Car,229.37,15.940583,5,2
627,Car,462.43,37.834811,5,2
628,Motorcycle,342.31,17.911681,2.5,1
629,Car,245.64,13.731335,5,2
630,Taxi,171.24,6.127811,5,2
631,Car,461.41,20.660339,5,2
632,Car,48.07,4.807245,5,2
633,Medium Vehicle,350.04,17.075135,5.83,2.67
634,Motorcycle,467.59,20.039398,2.5,1
635,Car,355.17,18.318289,5,2
636,Motorcycle,343.75,20.220622,2.5,1
637,Motorcycle,221.94,19.392701,2.5,1
638,Motorcycle,221.88,18.404688,2.5,1
639,Car,229.87,18.308093,5,2
640,Motorcycle,72.94,2.120933,2.5,1
641,Motorcycle,336.32,21.620379,2.5,1
642,Car,348.68,18.298046,5,2
643,Car,349.55,21.847159,5,2
644,Car,228.61,11.24334,5,2
645,Taxi,353.48,12.932367,5,2
646,Car,136.75,8.886114,5,2
647,Taxi,228.43,10.792189,5,2
648,Motorcycle,225.1,12.622471,2.5,1
649,Car,233.27,10.523271,5,2
650,Car,228.54,10.911902,5,2
651,Car,462.32,34.965209,5,2
652,Car,459.53,30.863824,5,2
653,Car,448.97,39.040673,5,2
654,Taxi,469.27,30.384579,5,2
655,Bus,117.36,2.411425,12.5,4
656,Taxi,450.98,34.108057,5,2
657,Car,468.03,33.969652,5,2
658,Taxi,417.38,14.095253,5,2
659,Car,205.83,13.928663,5,2
660,Car,460.99,33.324242,5,2
662,Car,114.81,13.507189,5,2
663,Taxi,449.9,34.460695,5,2
664,Car,466.63,19.624653,5,2
666,Taxi,448.06,42.225705,5,2
667,Car,67.83,12.989088,5,2
668,Car,410.23,33.262098,5,2
669,Motorcycle,71.76,11.959638,2.5,1
670,Motorcycle,242.01,27.057227,2.5,1
671,Car,449.99,24.106796,5,2
672,Motorcycle,341.55,24.204571,2.5,1
673,Motorcycle,447.58,23.150845,2.5,1
674,Car,172.43,27.711184,5,2
675,Car,345.64,21.161501,5,2
676,Taxi,447.16,37.436786,5,2
677,Motorcycle,450.48,23.571799,2.5,1
678,Taxi,244.63,17.900114,5,2
679,Motorcycle,173.02,13.141042,2.5,1
680,Car,460.83,39.312224,5,2
681,Motorcycle,461.95,24.171987,2.5,1
682,Motorcycle,344.23,13.892604,2.5,1
683,Car,458.56,22.991665,5,2
684,Car,445.69,23.876453,5,2
685,Motorcycle,28.55,17.129871,2.5,1
686,Taxi,244.35,13.87495,5,2
687,Medium Vehicle,192.74,7.334555,5.83,2.67
688,Motorcycle,122.95,14.37048,2.5,1
689,Car,230.22,10.35993,5,2
690,Car,119.19,9.751597,5,2
691,Motorcycle,222.63,26.021495,2.5,1
692,Motorcycle,443.29,47.779539,2.5,1
693,Car,29.06,14.947238,5,2
694,Car,67.81,12.847358,5,2
695,Motorcycle,179.23,31.322123,2.5,1
696,Motorcycle,453.92,48.925719,2.5,1
697,Motorcycle,204.64,16.085448,2.5,1
698,Car,456.93,35.298957,5,2
699,Motorcycle,214.13,13.021617,2.5,1
700,Car,445.14,38.521771,5,2
701,Car,459.99,35.998998,5,2
702,Motorcycle,99.7,13.804409,2.5,1
703,Bus,246.29,21.838098,12.5,4
704,Motorcycle,226.06,13.518685,2.5,1
705,Car,45.81,22.287123,5,2
706,Motorcycle,168.72,12.868317,2.5,1
707,Taxi,447.01,41.907363,5,2
708,Car,460.54,39.85408,5,2
709,Car,459.78,35.367669,5,2
710,Car,338.72,16.258752,5,2
711,Motorcycle,343.83,16.956112,2.5,1
712,Car,346.72,19.939328,5,2
713,Medium Vehicle,458.32,39.28456,5.83,2.67
714,Car,412.89,32.173088,5,2
715,Motorcycle,342.89,17.049711,2.5,1
716,Medium Vehicle,232.67,13.642052,5.83,2.67
717,Car,459.17,22.158443,5,2
718,Medium Vehicle,201.22,6.066792,5.83,2.67
719,Taxi,416.56,14.702267,5,2
720,Car,449.23,49.914219,5,2
721,Taxi,466.98,21.55308,5,2
722,Medium Vehicle,349.56,17.926035,5.83,2.67
723,Car,47.01,4.780914,5,2
724,Motorcycle,321.12,13.473502,2.5,1
725,Car,95.84,7.403737,5,2
726,Taxi,351.83,18.094165,5,2
727,Car,345.05,18.595616,5,2
728,Taxi,348.31,20.760399,5,2
729,Car,226.84,10.661104,5,2
730,Car,349.51,12.735247,5,2
731,Car,349.19,12.520634,5,2
732,Car,216.49,13.577813,5,2
733,Car,46.86,12.049032,5,2
734,Car,112.92,7.131723,5,2
735,Motorcycle,452.64,43.570072,2.5,1
736,Motorcycle,453.83,47.494005,2.5,1
737,Car,451.2,36.916532,5,2
738,Car,459.74,36.779101,5,2
739,Taxi,68.79,11.257131,5,2
740,Car,455.22,39.018828,5,2
741,Car,29.32,12.56667,5,2
742,Car,461.06,38.78089,5,2
743,Motorcycle,241.47,31.495548,2.5,1
744,Car,461.03,39.516582,5,2
745,Car,216.8,15.927859,5,2
746,Motorcycle,443.55,41.367203,2.5,1
747,Motorcycle,326.25,14.867127,2.5,1
748,Taxi,465.95,38.472962,5,2
749,Car,244.32,29.12438,5,2
750,Car,112.52,13.59333,5,2
751,Car,459.74,41.584303,5,2
752,Motorcycle,459.87,42.449518,2.5,1
753,Taxi,216.84,16.896936,5,2
754,Car,460.91,42.764611,5,2
755,Car,444.72,41.911225,5,2
756,Car,111.85,8.603804,5,2
757,Car,166.66,13.332656,5,2
758,Car,466.95,41.404468,5,2
759,Motorcycle,45.09,11.595034,2.5,1
760,Motorcycle,451.86,43.495011,2.5,1
761,Car,227.54,23.812659,5,2
762,Car,114.41,15.841063,5,2
763,Car,61.97,6.719953,5,2
764,Motorcycle,216.57,36.775709,2.5,1
765,Motorcycle,456.68,43.264698,2.5,1
766,Taxi,452.46,44.26263,5,2
767,Bus,446.58,38.646057,12.5,4
768,Car,47.65,21.992458,5,2
769,Car,371.71,35.401122,5,2
770,Car,417.9,40.011678,5,2
771,Car,113.17,11.131189,5,2
772,Motorcycle,242.85,36.426997,2.5,1
773,Car,399.94,40.671771,5,2
774,Motorcycle,456.32,49.184384,2.5,1
775,Motorcycle,119.53,12.365351,2.5,1
776,Taxi,209.27,21.900779,5,2
