track_id,type,traveled_d,avg_speed,length,width
292,Car,353.87,18.147199,5,2
293,Motorcycle,467.9,24.412043,2.5,1
294,Car,477.67,22.745983,5,2
295,Taxi,360.99,16.285481,5,2
296,Car,448.52,20.183511,5,2
297,Bus,466.21,22.619163,12.5,4
298,Taxi,463.32,23.558468,5,2
299,Car,228.44,15.694641,5,2
300,Car,75.87,13.934588,5,2
301,Car,184.43,14.954147,5,2
302,Car,229.15,16.239291,5,2
303,Motorcycle,174.56,6.309519,2.5,1
304,Car,361.53,17.493288,5,2
305,Car,355.67,17.734134,5,2
306,Motorcycle,361.15,20.970129,2.5,1
307,Car,237.01,9.991085,5,2
308,Motorcycle,303.14,18.248948,2.5,1
309,Car,226.89,6.684146,5,2
310,Car,5.8,0.037863,5,2
311,Car,354.71,19.28915,5,2
312,Taxi,339.42,25.56286,5,2
313,Car,70.51,11.13292,5,2
314,Car,352.89,13.429328,5,2
315,Car,213.61,9.309777,5,2
316,Motorcycle,189.88,26.494545,2.5,1
317,Taxi,176.77,4.83564,5,2
318,Car,248.61,28.871038,5,2
319,Motorcycle,166.84,11.776668,2.5,1
320,Car,69.16,11.114493,5,2
321,Car,50.39,13.338772,5,2
322,Taxi,475.15,32.152991,5,2
